locus_tag,product_doerks,new_category,annot_method,Associations,Source,hyperlink to source page
Rv2749,linked to less specific oxidoreductase activity   ,F,operon,COG1359,string.embl.de,COG1359
Rv3363c,link to nucleotide-binding process ,C,operon,NOG40924,string.embl.de,NOG40924
Rv0207c,membrane associated process ,A,operon,NOG05977,string.embl.de,NOG05977
Rv2514c, regulated by general enzymatic activity ,F,operon,NOG08593,string.embl.de,NOG08593
Rv1025, cell division,A,operon,COG1507,string.embl.de,COG1507
Rv3703c,linked to arylsulfatase activity  (double)glutathione biosynthetic process   ,F,operon,COG1262,string.embl.de,COG1262
Rv2179c, aromatic amino acid family biosynthetic process ,F,operon,NOG05521,string.embl.de,NOG05521
Rv3909,cell wall ,A,operon,NOG06587,string.embl.de,NOG06587
Rv3196,secretion ,A,operon,NOG45063,string.embl.de,NOG45063
Rv0448c,lipid biosynthetic process  ,E,operon,COG3496,string.embl.de,COG3496
Rv1829,phospholipid biosynthetic process ,E,operon,COG1259,string.embl.de,COG1259
Rv1823,membrane associated process ,A,operon,COG3879,string.embl.de,COG3879
Rv1825,membrane associated process ,A,operon,COG3879,string.embl.de,COG3879
Rv0367c,signal transduction ,C,operon,NOG145257,string.embl.de,NOG145257
Rv0976c, related to synthesis and oxidation of fatty acids ,E,operon,NOG05011,string.embl.de,NOG05011
Rv3446c,cell wall and cell processes ,A,operon,NOG26793,string.embl.de,NOG26793
Rv3656c,secretion ,A,operon,NOG122700,string.embl.de,NOG122700
Rv0863,DNA-associated process ,C,operon,NOG39946,string.embl.de,NOG39946
Rv2172c,membrane associated process ,A,operon,NOG11025,string.embl.de,NOG11025
Rv3205c,membrane associated process ,A,operon,NOG06567,string.embl.de,NOG06567
Rv3836, cell wall processes,A,operon,COG3824,string.embl.de,COG3824
Rv0495c,DNA-associated process ,C,operon,NOG05461,string.embl.de,NOG05461
Rv3258c,sugar metabolism ,C,operon,NOG07383,string.embl.de,NOG07383
Rv1083,membrane associated process ,A,operon,NOG13953,string.embl.de,NOG13953
Rv2598,membrane associated process ,A,operon,NOG45398,string.embl.de,NOG45398
Rv3131,diacylglycerol O-acyltransferase activity ,F,operon,NOG42637,string.embl.de,NOG42637
Rv3231c,link to acyltransferase activity ,F,operon,NOG07384,string.embl.de,NOG07384
Rv3235,link to acyltransferase activity ,F,operon,NOG39227,string.embl.de,NOG39227
Rv1976c,response to host immune response ,B,operon,NOG09547,string.embl.de,NOG09547
Rv0177,membrane associated process ,A,operon,NOG11769,string.embl.de,NOG11769
Rv0877,cell wall processes ,A,operon,NOG06304,string.embl.de,NOG06304
Rv0100,lipid metabolism ,E,operon,NOG14036,string.embl.de,NOG14036
Rv1893,membrane associated process ,A,operon,NOG14396,string.embl.de,NOG14396
Rv0430, tuberculin secretion,B,operon,NOG08694,string.embl.de,NOG08694
Rv3655c,membrane associated process ,A,operon,NOG16944,string.embl.de,NOG16944
Rv1794,cell wall processes ,A,operon,NOG10089,string.embl.de,NOG10089
Rv2183c,link to cyclase activity,F,operon,NOG12777,string.embl.de,NOG12777
Rv2186c,link to cyclase activity,F,operon,NOG12155,string.embl.de,NOG12155
Rv1871c,DNA-repair ,H,operon,NOG70313,string.embl.de,NOG70313
Rv2033c,intermediary metabolism and respiration ,F,operon,NOG05518,string.embl.de,NOG05518
Rv0857,link to Polyketide_cyclase/dehydratase. ,E,operon,NOG40843,string.embl.de,NOG40843
Rv3691,membrane associated process ,A,operon,NOG12774,string.embl.de,NOG12774
Rv0543c,membrane associated process ,A,operon,NOG08636,string.embl.de,NOG08636
Rv1209, DNA-associated process ,C,operon,NOG42341,string.embl.de,NOG42341
Rv1887,linked to resuscitation promoting factor,B,operon,NOG48004,string.embl.de,NOG48004
Rv2137c,secretion/lipid metabolism ,A,operon,NOG13232,string.embl.de,NOG13232
Rv1891,membrane associated process ,A,operon,NOG11895,string.embl.de,NOG11895
Rv3288c,membrane associated process ,A,operon,NOG44169,string.embl.de,NOG44169
Rv1073,membrane associated process ,A,operon,NOG44549,string.embl.de,NOG44549
Rv3440c,membrane associated process ,A,operon,NOG46147,string.embl.de,NOG46147
Rv3165c,membrane associated process ,A,operon,NOG39320,string.embl.de,NOG39320
Rv1874,link to sulfotransferase activity ,F,operon,NOG41202,string.embl.de,NOG41202
Rv3531c,link to sulfotransferase activity ,F,operon,NOG41005,string.embl.de,NOG41005
Rv0201c,membrane associated process ,A,operon,NOG11925,string.embl.de,NOG11925
Rv3438,membrane associated process ,A,operon,NOG05515,string.embl.de,NOG05515
Rv2405,lipid metabolism ,E,operon,NOG07402,string.embl.de,NOG07402
Rv0443, link to FMN-binding protein,F,operon,NOG12504,string.embl.de,NOG12504
Rv0460,membrane associated process ,A,operon,NOG47585,string.embl.de,NOG47585
Rv0679c,membrane associated process ,A,operon,NOG40849,string.embl.de,NOG40849
Rv2797c, lipid metabolism ,E,operon,NOG134387,string.embl.de,NOG134387
Rv0964c,membrane associated process ,A,operon,NOG76315,string.embl.de,NOG76315
Rv0349,DNA-associated process ,C,operon,NOG81154,string.embl.de,NOG81154
Rv3747, link to PE family ,C,operon,NOG67535,string.embl.de,NOG67535
Rv2083,membrane associated process ,A,operon,NOG41263,string.embl.de,NOG41263
Rv2082, cell wall and cell processes ,A,operon,NOG40188,string.embl.de,NOG40188
Rv0762c, intracellular transport ,C,operon,NOG44212,string.embl.de,NOG44212
Rv0481c,membrane associated process ,A,operon,NOG43954,string.embl.de,NOG43954
Rv2808,membrane associated process ,A,operon,NOG79550,string.embl.de,NOG79550
Rv2114,membrane associated process ,A,operon,NOG14507,string.embl.de,NOG14507
Rv1691, membrane associated transport process ,A,operon,NOG05971,string.embl.de,NOG05971
Rv1157c,"cell wall and cell processes, Structural constituent of cell wall protein, alanine and proline rich protein",A,operon,NOG07389,string.embl.de,NOG07389
Rv3912,"cell wall and cell processes, alanine rich protein",A,operon,NOG47425,string.embl.de,NOG47425
Rv2707,"link to transcription regulation, transmembrane alanine and leucine rich protein",C,operon,COG1295,string.embl.de,COG1295
Rv3361c,"cell wall and cell processes , Uncharacterized low-complexity proteins",A,operon,COG1357,string.embl.de,COG1357
Rv3212," intermediary metabolism and respiration , Valine rich protein",F,operon,NOG05967,string.embl.de,NOG05967
Rv3439c,"cell wall and cell processes , Alanine and proline rich protein",A,operon,NOG41540,string.embl.de,NOG41540
Rv2619c,Protein containing double-stranded beta-helix domain,F,orthology,COG1917,eggnog.embl.de,COG1917
Rv1078,"cell wall and cell processes , Predicted membrane protein/domain, proline-rich antigen homolog",A,operon,COG1714,string.embl.de,COG1714
Rv1192,Protein involved in GPI anchor metabolic process,A,orthology,NOG26817,eggnog.embl.de,NOG26817
