"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv3229c","Mb3258c","lipid metabolism","427 aa overlap","desa3",,," 427 aa",," 427 aa ","possible linoleoyl-coa desaturase delta6-desaturase"
"Rv3231c","Mb3260c","conserved hypothetical protein","169 aa overlap",,,," 169 aa",," 169 aa ","conserved protein"
"Rv3232c","Mb3261c","intermediate metabolism and respiration","295 aa overlap","ppk2",,," 295 aa",," 295 aa ","polyphosphate kinase ppk2 polyphosphoric acid kinase"
"Rv3235","Mb3263","conserved hypothetical protein","213 aa overlap",,,," 213 aa",," 213 aa ","hypothetical alanine arginine proline rich protein"
"Rv3236c","Mb3264c","cell wall and cell processes","385 aa overlap",,,," 385 aa",," 385 aa ","probable conserved integral membrane transport protein"
"Rv3237c","Mb3265c","conserved hypothetical protein","160 aa overlap",,,," 160 aa",," 160 aa ","conserved protein"
"Rv3238c","Mb3266c","cell wall and cell processes","244 aa overlap",,,," 244 aa",," 244 aa ","probable conserved integral membrane protein"
"Rv3240c","Mb3268c","cell wall and cell processes","949 aa overlap","secA1",,," 949 aa",," 949 aa ","probable preprotein translocase seca1 1 subunit"
"Rv3241c","Mb3269c","information pathways","214 aa overlap",,,," 214 aa",," 214 aa ","conserved protein"
"Rv3242c","Mb3270c","conserved hypothetical protein","213 aa overlap",,,," 213 aa",," 213 aa ","conserved hypothetical protein"
"Rv3243c","Mb3271c","conserved hypothetical protein","280 aa overlap",,,," 280 aa",," 280 aa ","unknown protein"
"Rv3246c","Mb3274c","regulatory proteins","228 aa overlap","mtrA",,," 228 aa",," 228 aa ","two component sensory transduction transcriptional regulatory protein mtra"
"Rv3247c","Mb3275c","intermediate metabolism and respiration","214 aa overlap","tmk",,," 214 aa",," 214 aa ","thymidylate kinase tmk dtmp kinase thymidylic acid kinase tmpk"
"Rv3249c","Mb3277c","regulatory proteins","211 aa overlap",,,," 211 aa",," 211 aa ","possible transcriptional regulatory protein probably tetr-family"
"Rv3250c","Mb3278c","intermediate metabolism and respiration","60 aa overlap","rubB",,," 60 aa",," 60 aa ","probable rubredoxin rubb"
"Rv3251c","Mb3279c","intermediate metabolism and respiration","55 aa overlap","rubA",,," 55 aa",," 55 aa ","probable rubredoxin ruba"
"Rv3252c","Mb3280c","lipid metabolism","416 aa overlap","alkB",,," 416 aa",," 416 aa ","probable transmembrane alkane 1-monooxygenase alkb alkane 1-hydroxylase lauric acid omega-hydroxylase omega-hydroxylase fatty acid omega-hydroxylase alkane hydroxylase-rubredoxin"
"Rv3253c","Mb3281c","cell wall and cell processes","495 aa overlap",,,," 495 aa",," 495 aa ","possible cationic amino acid transport integral membrane protein"
"Rv3254","Mb3282","conserved hypothetical protein","462 aa overlap",,,," 462 aa",," 462 aa ","conserved hypothetical protein"
"Rv3255c","Mb3283c","intermediate metabolism and respiration","408 aa overlap","manA",,," 408 aa",," 408 aa ","probable mannose-6-phosphate isomerase mana phosphomannose isomerase phosphomannoisomerase pmi phosphohexoisomerase phosphohexomutase"
"Rv3256c","Mb3284c","conserved hypothetical protein","346 aa overlap",,,," 346 aa",," 346 aa ","conserved protein"
"Rv3258c","Mb3286c","conserved hypothetical protein","163 aa overlap",,,," 163 aa",," 163 aa ","conserved hypothetical protein"
"Rv3259","Mb3287","conserved hypothetical protein","139 aa overlap",,,," 139 aa",," 139 aa ","conserved hypothetical protein"
"Rv3260c","Mb3288c","regulatory proteins","89 aa overlap","whiB2",,," 89 aa",," 89 aa ","probable transcriptional regulatory protein whib-like whib2"
"Rv3261","Mb3289","intermediate metabolism and respiration","331 aa overlap","fbiA",,," 331 aa",," 331 aa ","probable f420 biosynthesis protein fbia"
"Rv3262","Mb3290","intermediate metabolism and respiration","448 aa overlap","fbiB",,," 448 aa",," 448 aa ","probable f420 biosynthesis protein fbib"
"Rv3263","Mb3291","information pathways","553 aa overlap",,,," 553 aa",," 553 aa ","probable dna methylase modification methylase methyltransferase"
"Rv3264c","Mb3292c","cell wall and cell processes","359 aa overlap","manC",,," 359 aa",," 359 aa ","d-alpha-d-mannose-1-phosphate guanylyltransferase manb d-alpha-d-heptose-1-phosphate guanylyltransferase"
"Rv3267","Mb3295","conserved hypothetical protein","498 aa overlap",,,," 498 aa",," 498 aa ","conserved protein cpsa-related protein"
"Rv3268","Mb3296","conserved hypothetical protein","229 aa overlap",,,," 229 aa",," 229 aa ","conserved hypothetical protein"
"Rv3269","Mb3297","virulence, detoxification,adaptation","93 aa overlap",,,," 93 aa",," 93 aa ","conserved protein"
"Rv3270","Mb3298","cell wall and cell processes","718 aa overlap","ctpC",,," 718 aa",," 718 aa ","probable metal cation-transporting p-type atpase c ctpc"
"Rv3271c","Mb3299c","cell wall and cell processes","222 aa overlap",,,," 222 aa",," 222 aa ","probable conserved integral membrane protein"
"Rv3273","Mb3301","intermediate metabolism and respiration","764 aa overlap",,,," 764 aa",," 764 aa ","probable transmembrane carbonic anhydrase carbonate dehydratase carbonic dehydratase"
"Rv3274c","Mb3302c","lipid metabolism","389 aa overlap","fadE25",,," 389 aa",," 389 aa ","probable acyl-coa dehydrogenase fade25"
"Rv3276c","Mb3304c","intermediate metabolism and respiration","429 aa overlap","purK",,," 429 aa",," 429 aa ","probable phosphoribosylaminoimidazole carboxylase atpase subunit purk air carboxylase airc"
"Rv3277","Mb3305","cell wall and cell processes","271 aa overlap",,,," 271 aa",," 271 aa ","probable conserved transmembrane protein"
"Rv3284","Mb3312","conserved hypothetical protein","143 aa overlap",,,," 143 aa",," 143 aa ","conserved hypothetical protein"
"Rv3285","Mb3313","lipid metabolism","600 aa overlap","accA3",,," 600 aa",," 600 aa ","probable bifunctional protein acetyl-/propionyl-coenzyme a carboxylase alpha chain acca3: biotin carboxylase b biotin carboxyl carrier protein bccp"
"Rv3286c","Mb3314c","information pathways","261 aa overlap","sigF",,," 261 aa",," 261 aa ","alternative rna polymerase sigma factor sigf"
"Rv3287c","Mb3315c","information pathways","145 aa overlap","rsbW",,," 145 aa",," 145 aa ","anti-sigma factor rsbw sigma negative effector"
"Rv3288c","Mb3316c","conserved hypothetical protein","137 aa overlap","usfY",,," 137 aa",," 137 aa ","putative protein usfy"
"Rv3289c","Mb3317c","cell wall and cell processes","125 aa overlap",,,," 125 aa",," 125 aa ","possible transmembrane protein"
"Rv3290c","Mb3318c","intermediate metabolism and respiration","449 aa overlap","lat",,," 449 aa",," 449 aa ","probable l-lysine-epsilon aminotransferase lat l-lysine aminotransferase lysine 6-aminotransferase"
"Rv3292","Mb3320","conserved hypothetical protein","415 aa overlap",,,," 415 aa",," 415 aa ","conserved hypothetical protein"
"Rv3294c","Mb3322c","conserved hypothetical protein","269 aa overlap",,,," 269 aa",," 269 aa ","conserved hypothetical protein"
"Rv3295","Mb3323","regulatory proteins","221 aa overlap",,,," 221 aa",," 221 aa ","probable transcriptional regulatory protein probably tetr-family"
"Rv3297","Mb3325","information pathways","255 aa overlap","nei",,," 255 aa",," 255 aa ","probable endonuclease viii nei"
"Rv3298c","Mb3326c","cell wall and cell processes","304 aa overlap","lpqC",,," 304 aa",," 304 aa ","possible esterase lipoprotein lpqc"
"Rv3301c","Mb3329c","cell wall and cell processes","221 aa overlap","phoY1",,," 221 aa",," 221 aa ","probable phosphate-transport system transcriptional regulatory protein phou homolog 1 phoy1"
"Rv3302c","Mb3330c","intermediate metabolism and respiration","585 aa overlap","glpD2",,," 585 aa",," 585 aa ","probable glycerol-3-phosphate dehydrogenase glpd2"
"Rv3304","Mb3332","conserved hypothetical protein","159 aa overlap",,,," 159 aa",," 159 aa ","conserved protein"
"Rv3305c","Mb3333c","intermediate metabolism and respiration","389 aa overlap","amiA1",,," 389 aa",," 389 aa ","possible n-acyl-l-amino acid amidohydrolase amia1 n-acyl-l-amino acid aminohydrolase"
"Rv3306c","Mb3334c","intermediate metabolism and respiration","394 aa overlap","amiB1",,," 394 aa",," 394 aa ","probable amidohydrolase amib1 aminohydrolase"
"Rv3307","Mb3335","intermediate metabolism and respiration","268 aa overlap","deoD",,," 268 aa",," 268 aa ","probable purine nucleoside phosphorylase deod inosine phosphorylase pnp"
"Rv3309c","Mb3337c","intermediate metabolism and respiration","207 aa overlap","upp",,," 207 aa",," 207 aa ","probable uracil phosphoribosyltransferase upp ump pyrophosphorylase uprtase ump diphosphorylase"
"Rv3311","Mb3339","conserved hypothetical protein","420 aa overlap",,,," 420 aa",," 420 aa ","conserved protein"
"Rv3312c","Mb3340c","conserved hypothetical protein","308 aa overlap",,,," 308 aa",," 308 aa ","conserved hypothetical protein"
"Rv3312A","Mb3341c","cell wall and cell processes","103 aa overlap",,,," 103 aa",," 103 aa ","secreted protein antigen"
"Rv3313c","Mb3342c","intermediate metabolism and respiration","365 aa overlap","add",,," 365 aa",," 365 aa ","probable adenosine deaminase add adenosine aminohydrolase"
"Rv3315c","Mb3344c","intermediate metabolism and respiration","133 aa overlap","cdd",,," 133 aa",," 133 aa ","probable cytidine deaminase cdd cytidine aminohydrolase cytidine nucleoside deaminase"
"Rv3316","Mb3345","intermediate metabolism and respiration","112 aa overlap","sdhC",,," 112 aa",," 112 aa ","probable succinate dehydrogenase cytochrome b-556 subunit sdhc succinic dehydrogenase fumarate reductase fumarate dehydrogenase fumaric hydrogenase"
"Rv3318","Mb3347","intermediate metabolism and respiration","590 aa overlap","sdhA",,," 590 aa",," 590 aa ","probable succinate dehydrogenase flavoprotein subunit sdha succinic dehydrogenase fumarate reductase fumarate dehydrogenase fumaric hydrogenase"
"Rv3320c","Mb3349c","virulence, detoxification,adaptation","142 aa overlap","vapc44",,," 142 aa",," 142 aa ","possible toxin vapc44. contains pin domain."
"Rv3321c","Mb3350c","virulence, detoxification,adaptation","80 aa overlap","vapb44",,," 80 aa",," 80 aa ","possible antitoxin vapb44"
"Rv3322c","Mb3351c","intermediate metabolism and respiration","204 aa overlap",,,," 204 aa",," 204 aa ","possible methyltransferase"
"Rv3323c","Mb3352c","intermediate metabolism and respiration","221 aa overlap","moaX",,," 221 aa",," 221 aa ","probable moad-moae fusion protein moax"
"Rv3324c","Mb3353c","intermediate metabolism and respiration","177 aa overlap","moaC3",,," 177 aa",," 177 aa ","probable molybdenum cofactor biosynthesis protein c 3 moac3"
"Rv3327","Mb3360","insertion seqs and phages","570 aa overlap",,,," 570 aa",," 570 aa ","probable transposase fusion protein"
"Rv3330","Mb3363","cell wall and cell processes","405 aa overlap","dacB1",,," 405 aa",," 405 aa ","probable penicillin-binding protein dacb1 d-alanyl-d-alanine carboxypeptidase dd-peptidase dd-carboxypeptidase pbp dd-transpeptidase serine-type d-ala-d-ala carboxypeptidase d-amino acid hydrolase"
"Rv3332","Mb3365","cell wall and cell processes","383 aa overlap","nagA",,," 383 aa",," 383 aa ","probable n-acetylglucosamine-6-phosphate deacetylase naga glcnac 6-p deacetylase"
"Rv3333c","Mb3366c","conserved hypothetical protein","281 aa overlap",,,," 281 aa",," 281 aa ","hypothetical proline rich protein"
"Rv3334","Mb3367","regulatory proteins","146 aa overlap",,,," 146 aa",," 146 aa ","probable transcriptional regulatory protein probably merr-family"
"Rv3335c","Mb3368c","cell wall and cell processes","289 aa overlap",,,," 289 aa",," 289 aa ","probable conserved integral membrane protein"
"Rv3336c","Mb3369c","information pathways","336 aa overlap","trpS",,," 336 aa",," 336 aa ","probable tryptophanyl-trna synthetase trps tryptophan--trna ligase trprs tryptophan translase"
"Rv3339c","Mb3371c","intermediate metabolism and respiration","409 aa overlap","icd1",,," 409 aa",," 409 aa ","probable isocitrate dehydrogenase [nadp] icd1 oxalosuccinate decarboxylase idh nadpb-specific icdh idp"
"Rv3340","Mb3372","intermediate metabolism and respiration","449 aa overlap","metC",,," 449 aa",," 449 aa ","probable o-acetylhomoserine sulfhydrylase metc homocysteine synthase o-acetylhomoserine thiol-lyase oah sulfhydrylase o-acetyl-l-homoserine sulfhydrylase"
"Rv3341","Mb3373","intermediate metabolism and respiration","379 aa overlap","metA",,," 379 aa",," 379 aa ","probable homoserine o-acetyltransferase meta homoserine o-trans-acetylase homoserine transacetylase hta"
"Rv3342","Mb3374","intermediate metabolism and respiration","243 aa overlap",,,," 243 aa",," 243 aa ","possible methyltransferase methylase"
"Rv3346c","Mb3378c","cell wall and cell processes","85 aa overlap",,,," 85 aa",," 85 aa ","conserved transmembrane protein"
"Rv3348","Mb3381","insertion seqs and phages","163 aa overlap",,,," 163 aa",," 163 aa ","probable transposase"
"Rv3349c","Mb3382c","insertion seqs and phages","246 aa overlap","-",,," 246 aa",," 246 aa ","transposase"
"Rv3351c","Mb3386c","conserved hypothetical protein","264 aa overlap",,,," 264 aa",," 264 aa ","conserved hypothetical protein"
"Rv3352c","Mb3387c","intermediate metabolism and respiration","123 aa overlap",,,," 123 aa",," 123 aa ","possible oxidoreductase"
"Rv3353c","Mb3388c","conserved hypothetical protein","86 aa overlap",,,," 86 aa",," 86 aa ","conserved hypothetical protein"
"Rv3355c","Mb3390c","cell wall and cell processes","97 aa overlap",,,," 97 aa",," 97 aa ","probable integral membrane protein"
"Rv3357","Mb3392","virulence, detoxification,adaptation","91 aa overlap","relj",,," 91 aa",," 91 aa ","antitoxin relj"
"Rv3358","Mb3393","virulence, detoxification,adaptation","85 aa overlap","relk",,," 85 aa",," 85 aa ","toxin relk"
"Rv3359","Mb3394","intermediate metabolism and respiration","396 aa overlap",,,," 396 aa",," 396 aa ","possible oxidoreductase"
"Rv3360","Mb3395","conserved hypothetical protein","122 aa overlap",,,," 122 aa",," 122 aa ","conserved hypothetical protein"
"Rv3361c","Mb3396c","conserved hypothetical protein","183 aa overlap",,,," 183 aa",," 183 aa ","conserved protein"
"Rv3362c","Mb3397c","conserved hypothetical protein","193 aa overlap",,,," 193 aa",," 193 aa ","probable atp/gtp-binding protein"
"Rv3363c","Mb3398c","conserved hypothetical protein","122 aa overlap",,,," 122 aa",," 122 aa ","conserved hypothetical protein"
"Rv3364c","Mb3399c","conserved hypothetical protein","130 aa overlap",,,," 130 aa",," 130 aa ","conserved protein"
"Rv3365c","Mb3400c","conserved hypothetical protein","876 aa overlap",,,," 876 aa",," 876 aa ","conserved protein"
"Rv3366","Mb3401","information pathways","154 aa overlap","spoU",,," 154 aa",," 154 aa ","probable trna/rrna methylase spou trna/rrna methyltransferase"
"Rv3368c","Mb3403c","intermediate metabolism and respiration","214 aa overlap",,,," 214 aa",," 214 aa ","possible oxidoreductase"
"Rv3369","Mb3404","conserved hypothetical protein","144 aa overlap",,,," 144 aa",," 144 aa ","conserved protein"
"Rv3370c","Mb3405c","information pathways","1079 aa overlap","dnaE2",,," 1079 aa",," 1079 aa ","probable dna polymerase iii alpha chain dnae2 dna nucleotidyltransferase"
"Rv3372","Mb3407","virulence, detoxification,adaptation","391 aa overlap","otsB2",,," 391 aa",," 391 aa ","trehalose 6-phosphate phosphatase otsb2 trehalose-phosphatase tpp"
"Rv3375","Mb3409","intermediate metabolism and respiration","475 aa overlap","amiD",,," 475 aa",," 475 aa ","probable amidase amid acylamidase acylase"
"Rv3376","Mb3410","conserved hypothetical protein","217 aa overlap",,,," 217 aa",," 217 aa ","conserved hypothetical protein"
"Rv3378c","Mb3412c","intermediate metabolism and respiration","296 aa overlap",,,," 296 aa",," 296 aa ","diterpene synthase"
"Rv3382c","Mb3414c","cell wall and cell processes","329 aa overlap","lytB1",,," 329 aa",," 329 aa ","probable lytb-related protein lytb1"
"Rv3384c","Mb3416c","virulence, detoxification,adaptation","130 aa overlap","vapc46",,," 130 aa",," 130 aa ","possible toxin vapc46. contains pin domain."
"Rv3385c","Mb3417c","virulence, detoxification,adaptation","102 aa overlap","vapb46",,," 102 aa",," 102 aa ","possible antitoxin vapb46"
"Rv3386","Mb3418","insertion seqs and phages","234 aa overlap",,,," 234 aa",," 234 aa ","possible transposase"
"Rv3387","Mb3419","insertion seqs and phages","225 aa overlap",,,," 225 aa",," 225 aa ","possible transposase"
"Rv3390","Mb3422","cell wall and cell processes","236 aa overlap","lpqD",,," 236 aa",," 236 aa ","probable conserved lipoprotein lpqd"
"Rv3391","Mb3423","lipid metabolism","650 aa overlap","acrA1",,," 650 aa",," 650 aa ","possible multi-functional enzyme with acyl-coa-reductase activity acra1"
"Rv3393","Mb3425","intermediate metabolism and respiration","308 aa overlap","iunH",,," 308 aa",," 308 aa ","probable nucleoside hydrolase iunh purine nucleosidase"
"Rv3394c","Mb3426c","conserved hypothetical protein","527 aa overlap",,,," 527 aa",," 527 aa ","conserved hypothetical protein"
"Rv3395A","Mb3428","cell wall and cell processes","208 aa overlap",,,," 208 aa",," 208 aa ","probable membrane protein"
"Rv3396c","Mb3429c","intermediate metabolism and respiration","525 aa overlap","guaA",,," 525 aa",," 525 aa ","probable gmp synthase [glutamine-hydrolyzing] guaa glutamine amidotransferase gmp synthetase"
"Rv3397c","Mb3430c","intermediate metabolism and respiration","302 aa overlap","phyA",,," 302 aa",," 302 aa ","probable phytoene synthase phya"
"Rv3398c","Mb3431c","lipid metabolism","359 aa overlap","idsA1",,," 359 aa",," 359 aa ","probable multifunctional geranylgeranyl pyrophosphate synthetase idsa1 ggpp synthetase ggppsase geranylgeranyl diphosphate synthase: dimethylallyltransferase prenyltransferase geranyl-diphosphate synthase b geranyltranstransferase farnesyl-diphosphate synthase farnesyl-pyrophosphate synthetase farnesyl diphosphate synthetase fpp synthetase b farnesyltranstransferase geranylgeranyl-diphosphate synthase"
"Rv3400","Mb3433","intermediate metabolism and respiration","262 aa overlap",,,," 262 aa",," 262 aa ","probable hydrolase"
"Rv3403c","Mb3437c","conserved hypothetical protein","533 aa overlap",,,," 533 aa",," 533 aa ","hypothetical protein"
"Rv3404c","Mb3438c","conserved hypothetical protein","234 aa overlap",,,," 234 aa",," 234 aa ","conserved hypothetical protein"
"Rv3405c","Mb3439c","regulatory proteins","188 aa overlap",,,," 188 aa",," 188 aa ","possible transcriptional regulatory protein"
"Rv3406","Mb3440","intermediate metabolism and respiration","295 aa overlap",,,," 295 aa",," 295 aa ","probable dioxygenase"
"Rv3407","Mb3441","virulence, detoxification,adaptation","99 aa overlap","vapb47",,," 99 aa",," 99 aa ","possible antitoxin vapb47"
"Rv3409c","Mb3443c","lipid metabolism","578 aa overlap","choD",,," 578 aa",," 578 aa ","cholesterol oxidase chod cholesterol-o2 oxidoreductase"
"Rv3410c","Mb3444c","intermediate metabolism and respiration","375 aa overlap","guaB3",,," 375 aa",," 375 aa ","probable inosine-5'-monophosphate dehydrogenase guab3 imp dehydrogenase inosinic acid dehydrogenase inosinate dehydrogenase imp oxidoreductase inosine-5'-monophosphate oxidoreductase impdh impd"
"Rv3411c","Mb3445c","intermediate metabolism and respiration","529 aa overlap","guaB2",,," 529 aa",," 529 aa ","probable inosine-5'-monophosphate dehydrogenase guab2 imp dehydrogenase inosinic acid dehydrogenase inosinate dehydrogenase imp oxidoreductase inosine-5'-monophosphate oxidoreductase impdh impd"
"Rv3412","Mb3446","conserved hypothetical protein","136 aa overlap",,,," 136 aa",," 136 aa ","conserved hypothetical protein"
"Rv3413c","Mb3447c","conserved hypothetical protein","299 aa overlap",,,," 299 aa",," 299 aa ","unknown alanine and proline rich protein"
"Rv3414c","Mb3448c","information pathways","212 aa overlap","sigD",,," 212 aa",," 212 aa ","probable alternative rna polymerase sigma-d factor sigd"
"Rv3415c","Mb3449c","conserved hypothetical protein","275 aa overlap",,,," 275 aa",," 275 aa ","conserved hypothetical protein"
"Rv3416","Mb3450","regulatory proteins","102 aa overlap","whiB3",,," 102 aa",," 102 aa ","transcriptional regulatory protein whib-like whib3. contains [4fe-4s] cluster."
"Rv3417c","Mb3451c","virulence, detoxification,adaptation","539 aa overlap","groEL1",,," 539 aa",," 539 aa ","60 kda chaperonin 1 groel1 protein cpn60-1 groel protein 1"
"Rv3418c","Mb3452c","virulence, detoxification,adaptation","100 aa overlap","groES",,," 100 aa",," 100 aa ","10 kda chaperonin groes protein cpn10 protein groes bcg-a heat shock protein 10 kda antigen"
"Rv3419c","Mb3453c","intermediate metabolism and respiration","344 aa overlap","gcp",,," 344 aa",," 344 aa ","probable o-sialoglycoprotein endopeptidase gcp glycoprotease"
"Rv3420c","Mb3454c","information pathways","158 aa overlap","rimI",,," 158 aa",," 158 aa ","ribosomal-protein-alanine acetyltransferase rimi acetylating enzyme for n-terminal of ribosomal protein s18"
"Rv3421c","Mb3455c","conserved hypothetical protein","211 aa overlap",,,," 211 aa",," 211 aa ","conserved hypothetical protein"
"Rv3422c","Mb3456c","conserved hypothetical protein","168 aa overlap",,,," 168 aa",," 168 aa ","conserved hypothetical protein"
"Rv3423c","Mb3457c","intermediate metabolism and respiration","408 aa overlap","alr",,," 408 aa",," 408 aa ","alanine racemase alr"
"Rv3424c","Mb3458c","conserved hypothetical protein","120 aa overlap",,,," 120 aa",," 120 aa ","hypothetical protein"
"Rv3431c","Mb3461c","insertion seqs and phages","281 aa overlap",,,," 281 aa",," 281 aa ","possible transposase fragment"
"Rv3432c","Mb3462c","intermediate metabolism and respiration","460 aa overlap","gadB",,," 460 aa",," 460 aa ","probable glutamate decarboxylase gadb"
"Rv3435c","Mb3465c","cell wall and cell processes","284 aa overlap",,,," 284 aa",," 284 aa ","probable conserved transmembrane protein"
"Rv3436c","Mb3466c","intermediate metabolism and respiration","624 aa overlap","glmS",,," 624 aa",," 624 aa ","probable glucosamine--fructose-6-phosphate aminotransferase [isomerizing] glms hexosephosphate aminotransferase d-fructose-6-phosphate amidotransferase gfat l-glutamine-d-fructose-6-phosphate amidotransferase glucosamine-6-phosphate synthase"
"Rv3438","Mb3468","conserved hypothetical protein","280 aa overlap",,,," 280 aa",," 280 aa ","conserved protein"
"Rv3439c","Mb3469c","conserved hypothetical protein","467 aa overlap",,,," 467 aa",," 467 aa ","conserved hypothetical alanine and proline rich protein"
"Rv3440c","Mb3470c","conserved hypothetical protein","103 aa overlap",,,," 103 aa",," 103 aa ","hypothetical protein"
"Rv3441c","Mb3471c","intermediate metabolism and respiration","448 aa overlap","mrsA",,," 448 aa",," 448 aa ","probable phospho-sugar mutase / mrsa protein homolog"
"Rv3442c","Mb3472c","information pathways","151 aa overlap","rpsI",,," 151 aa",," 151 aa ","30s ribosomal protein s9 rpsi"
"Rv3443c","Mb3473c","information pathways","147 aa overlap","rplM",,," 147 aa",," 147 aa ","50s ribosomal protein l13 rplm"
"Rv3444c","Mb3474c","cell wall and cell processes","100 aa overlap","esxT",,," 100 aa",," 100 aa ","putative esat-6 like protein esxt"
"Rv3445c","Mb3475c","cell wall and cell processes","105 aa overlap","esxU",,," 105 aa",," 105 aa ","esat-6 like protein esxu"
"Rv3446c","Mb3476c","conserved hypothetical protein","404 aa overlap",,,," 404 aa",," 404 aa ","hypothetical alanine and valine rich protein"
"Rv3449","Mb3479","intermediate metabolism and respiration","455 aa overlap","mycp4",,," 455 aa",," 455 aa ","probable membrane-anchored mycosin mycp4 serine protease subtilisin-like protease subtilase-like mycosin-4"
"Rv3450c","Mb3480c","cell wall and cell processes","470 aa overlap","eccb4",,," 470 aa",," 470 aa ","esx conserved component eccb4. esx-4 type vii secretion system protein. probable membrane protein."
"Rv3451","Mb3481","cell wall and cell processes","262 aa overlap","cut3",,," 262 aa",," 262 aa ","probable cutinase precursor cut3"
"Rv3452","Mb3482","cell wall and cell processes","226 aa overlap","cut4",,," 226 aa",," 226 aa ","probable cutinase precursor cut4"
"Rv3455c","Mb3484c","information pathways","256 aa overlap","truA",,," 256 aa",," 256 aa ","probable trna pseudouridine synthase a trua pseudouridylate synthase i pseudouridine synthase i uracil hydrolyase"
"Rv3456c","Mb3485c","information pathways","180 aa overlap","rplQ",,," 180 aa",," 180 aa ","50s ribosomal protein l17 rplq"
"Rv3457c","Mb3486c","information pathways","347 aa overlap","rpoA",,," 347 aa",," 347 aa ","probable dna-directed rna polymerase alpha chain rpoa transcriptase alpha chain rna polymerase alpha subunit dna-directed rna nucleotidyltransferase"
"Rv3458c","Mb3487c","information pathways","201 aa overlap","rpsD",,," 201 aa",," 201 aa ","30s ribosomal protein s4 rpsd"
"Rv3460c","Mb3489c","information pathways","124 aa overlap","rpsM",,," 124 aa",," 124 aa ","30s ribosomal protein s13 rpsm"
"Rv3461c","Mb3490c","information pathways","37 aa overlap","rpmJ",,," 37 aa",," 37 aa ","50s ribosomal protein l36 rpmj"
"Rv3462c","Mb3491c","information pathways","73 aa overlap","infA",,," 73 aa",," 73 aa ","probable translation initiation factor if-1 infa"
"Rv3463","Mb3492","conserved hypothetical protein","285 aa overlap",,,," 285 aa",," 285 aa ","conserved protein"
"Rv3464","Mb3493","intermediate metabolism and respiration","331 aa overlap","rmlB1",,," 331 aa",," 331 aa ","dtdp-glucose 4c6-dehydratase rmlb"
"Rv3465","Mb3494","intermediate metabolism and respiration","202 aa overlap","rmlC",,," 202 aa",," 202 aa ","dtdp-4-dehydrorhamnose 3c5-epimerase rmlc dtdp-4-keto-6-deoxyglucose 3c5-epimerase dtdp-l-rhamnose synthetase thymidine diphospho-4-keto-rhamnose 3c5-epimerase"
"Rv3469c","Mb3498c","intermediate metabolism and respiration","336 aa overlap","mhpE",,," 336 aa",," 336 aa ","probable 4-hydroxy-2-oxovalerate aldolase mhpe hoa"
"Rv3472","Mb3501","conserved hypothetical protein","168 aa overlap",,,," 168 aa",," 168 aa ","conserved protein"
"Rv3473c","Mb3502c","virulence, detoxification,adaptation","261 aa overlap","bpoA",,," 261 aa",," 261 aa ","possible peroxidase bpoa non-haem peroxidase"
"Rv3478","Mb3505","PE/PPE","393 aa overlap","PPE60",,," 393 aa",," 393 aa ","pe family protein ppe60"
"Rv3481c","Mb3511c","cell wall and cell processes","229 aa overlap",,,," 229 aa",," 229 aa ","probable integral membrane protein"
"Rv3482c","Mb3512c","cell wall and cell processes","260 aa overlap",,,," 260 aa",," 260 aa ","probable conserved membrane protein"
"Rv3483c","Mb3513c","cell wall and cell processes","220 aa overlap",,,," 220 aa",," 220 aa ","possible exported protein"
"Rv3484","Mb3514","conserved hypothetical protein","512 aa overlap","cpsA",,," 512 aa",," 512 aa ","possible conserved protein cpsa"
"Rv3485c","Mb3515c","intermediate metabolism and respiration","314 aa overlap",,,," 314 aa",," 314 aa ","probable short-chain type dehydrogenase/reductase"
"Rv3486","Mb3516","conserved hypothetical protein","149 aa overlap",,,," 149 aa",," 149 aa ","conserved protein"
"Rv3487c","Mb3517c","intermediate metabolism and respiration","277 aa overlap","lipF",,," 277 aa",," 277 aa ","probable esterase/lipase lipf"
"Rv3489","Mb3519","conserved hypothetical protein","54 aa overlap",,,," 54 aa",," 54 aa ","unknown protein"
"Rv3491","Mb3521","conserved hypothetical protein","192 aa overlap",,,," 192 aa",," 192 aa ","unknown protein"
"Rv3492c","Mb3522c","conserved hypothetical protein","160 aa overlap",,,," 160 aa",," 160 aa ","conserved hypothetical mce associated protein"
"Rv3493c","Mb3523c","conserved hypothetical protein","242 aa overlap",,,," 242 aa",," 242 aa ","conserved hypothetical mce associated alanine and valine rich protein"
"Rv3495c","Mb3525c","cell wall and cell processes","384 aa overlap","lprN",,," 384 aa",," 384 aa ","possible mce-family lipoprotein lprn mce-family lipoprotein mce4e"
"Rv3496c","Mb3526c","virulence, detoxification,adaptation","451 aa overlap","mce4D",,," 451 aa",," 451 aa ","mce-family protein mce4d"
"Rv3497c","Mb3527c","virulence, detoxification,adaptation","357 aa overlap","mce4C",,," 357 aa",," 357 aa ","mce-family protein mce4c"
"Rv3498c","Mb3528c","virulence, detoxification,adaptation","350 aa overlap","mce4B",,," 350 aa",," 350 aa ","mce-family protein mce4b"
"Rv3499c","Mb3529c","virulence, detoxification,adaptation","400 aa overlap","mce4A",,," 400 aa",," 400 aa ","mce-family protein mce4a"
